Date,Price_Bitcoin
2021-10,48132.9
2021-09,43436.35
2021-09,41125.06
2021-09,41785.9
2021-09,42706.99
2021-09,43651.76
2021-09,42678.81
2021-09,42981.54
2021-09,44710.2
2021-09,43451.15
2021-09,40926.74
2021-09,43537.86
2021-09,47601.08
2021-09,47994.88
2021-09,46990.35
2021-09,47149.38
2021-09,47941.58
2021-09,46828.18
2021-09,45187.52
2021-09,45089.47
2021-09,45319.68
2021-09,45077.81
2021-09,46256.1
2021-09,46060.72
2021-09,46819.01
2021-09,51934.74
2021-09,51668.21
2021-09,50182.7
2021-09,50152.52
2021-09,49562.1
2021-09,48272.51
2021-08,47008.53
2021-08,48648.9
2021-08,48925.24
2021-08,48755.08
2021-08,48921.81
2021-08,47036.43
2021-08,48712.63
2021-08,48345.65
2021-08,49515.08
2021-08,48414.22
2021-08,49011.76
2021-08,48668.03
2021-08,46587.99
2021-08,44546.67
2021-08,44992.1
2021-08,46078.11
2021-08,46718.33
2021-08,46666.78
2021-08,47609.88
2021-08,44480.11
2021-08,46345.49
2021-08,45642.9
2021-08,45464.51
2021-08,43867.4
2021-08,43975.95
2021-08,42719.51
2021-08,40899.36
2021-08,39754.38
2021-08,38072.95
2021-08,38856.63
2021-08,41268.06
2021-07,41540.22
2021-07,40689.27
2021-07,39722.08
2021-07,39985.95
2021-07,38044.5
2021-07,37751.68
2021-07,34483.2
2021-07,33939.65
2021-07,32500.7
2021-07,32247.75
2021-07,31818.67
2021-07,29865.53
2021-07,30776.39
2021-07,31652.45
2021-07,31737.26
2021-07,31842.51
2021-07,31758.37
2021-07,32813.83
2021-07,32508.34
2021-07,32849.59
2021-07,33854.3
2021-07,33332.25
2021-07,33522.57
2021-07,32815.73
2021-07,34544.86
2021-07,33957.11
2021-07,33855.36
2021-07,35547.25
2021-07,34728.55
2021-07,33142.64
2021-07,33422
2021-06,34585
2021-06,36168.2
2021-06,34677.77
2021-06,32635.76
2021-06,31305.79
2021-06,32215.31
2021-06,34859.9
2021-06,33059.18
2021-06,32903.52
2021-06,32582.59
2021-06,35823.29
2021-06,36119.11
2021-06,35517.31
2021-06,37747.52
2021-06,38532.5
2021-06,39948.77
2021-06,39831.58
2021-06,39260.32
2021-06,36020.18
2021-06,37152.15
2021-06,36494.56
2021-06,36408.39
2021-06,33629.96
2021-06,34457.74
2021-06,35978.7
2021-06,35854.31
2021-06,37056.79
2021-06,38705.27
2021-06,37745.13
2021-06,36322.98
2021-05,36690.89
2021-05,36081.09
2021-05,34269.86
2021-05,35218.36
2021-05,38495.29
2021-05,38774.5
2021-05,37646.5
2021-05,39024.16
2021-05,33700.55
2021-05,38084.88
2021-05,35251.36
2021-05,40078.49
2021-05,38336.11
2021-05,43294.36
2021-05,44816.08
2021-05,44098.92
2021-05,48242.61
2021-05,49193.56
2021-05,49312.81
2021-05,54482.81
2021-05,56911.32
2021-05,55308.81
2021-05,57931.38
2021-05,59004.37
2021-05,57684.39
2021-05,55955.47
2021-05,56895.44
2021-05,54770.39
2021-05,56811.66
2021-05,57042.24
2021-05,57725.77
2021-04,56814.44
2021-04,52990.9
2021-04,54438.68
2021-04,55192.62
2021-04,53262.87
2021-04,48122.24
2021-04,50984.81
2021-04,50567.72
2021-04,51593.44
2021-04,54996.31
2021-04,56800.5
2021-04,56210.89
2021-04,56291.89
2021-04,60870.13
2021-04,62005.42
2021-04,63410.29
2021-04,62384.19
2021-04,63193.56
2021-04,59977.92
2021-04,59674.92
2021-04,58568.57
2021-04,58333.6
2021-04,57679.16
2021-04,56227.64
2021-04,58243.87
2021-04,58799.14
2021-04,58044.39
2021-04,58064.8
2021-04,58674.76
2021-04,58859.78
2021-03,58960.2
2021-03,58673.67
2021-03,57234.35
2021-03,54845.71
2021-03,55887.89
2021-03,54002.49
2021-03,52001.01
2021-03,54050.57
2021-03,54447.56
2021-03,54554.83
2021-03,57813.39
2021-03,58541.76
2021-03,58410.01
2021-03,57501.51
2021-03,57751.66
2021-03,56388.15
2021-03,56414.61
2021-03,60273.94
2021-03,61078.03
2021-03,56965.96
2021-03,57624.02
2021-03,56931.78
2021-03,54320.06
2021-03,51878.94
2021-03,50107.87
2021-03,48602.01
2021-03,49053.13
2021-03,47918.88
2021-03,50952.74
2021-03,47451.1
2021-03,48856.4
2021-02,45248.24
2021-02,46864.06
2021-02,45672.06
2021-02,48083.51
2021-02,48758.53
2021-02,47962.92
2021-02,54938.64
2021-02,57355.29
2021-02,56537.03
2021-02,55629.08
2021-02,52037.53
2021-02,52400.42
2021-02,48585.51
2021-02,48203.45
2021-02,48865.24
2021-02,47177.95
2021-02,47947.17
2021-02,46931.97
2021-02,45039.51
2021-02,47335.77
2021-02,44691.74
2021-02,38590.04
2021-02,40093.11
2021-02,37858.84
2021-02,37681.13
2021-02,37294.95
2021-02,35687.9
2021-02,33664.82
2021-01,32601.26
2021-01,34694.89
2021-01,34641.09
2021-01,33248.02
2021-01,31005.85
2021-01,32017.04
2021-01,32701.29
2021-01,31932.47
2021-01,32366.47
2021-01,33322.33
2021-01,31217
2021-01,34913.07
2021-01,36489.64
2021-01,36234.13
2021-01,36533.95
2021-01,35935.02
2021-01,36261.52
2021-01,38765.5
2021-01,37283.48
2021-01,34712.73
2021-01,33964.38
2021-01,38048.82
2021-01,40858.59
2021-01,40040.7
2021-01,39733
2021-01,35939.27
2021-01,33792.24
2021-01,31037.38
2021-01,33591.73
2021-01,31702.36
2021-01,29250.59
2020-12,28996.28
2020-12,28904.39
2020-12,26895.14
2020-12,26599.22
2020-12,26385.71
2020-12,26670.1
2020-12,24411.43
2020-12,23405.27
2020-12,23297.72
2020-12,23437.95
2020-12,23142.45
2020-12,23385.77
2020-12,23992.92
2020-12,22901.2
2020-12,22779.13
2020-12,21206.36
2020-12,19424.24
2020-12,19199.17
2020-12,19178.3
2020-12,18800.18
2020-12,18101.38
2020-12,18349.98
2020-12,18520.56
2020-12,18773.5
2020-12,19084.67
2020-12,19248.35
2020-12,19020.64
2020-12,18825.45
2020-12,19462.14
2020-12,19156.67
2020-12,19055.69
2020-11,19378.61
2020-11,18270.66
2020-11,17763.11
2020-11,17005.85
2020-11,17055.5
2020-11,18880.69
2020-11,18944.86
2020-11,18422.02
2020-11,18597.77
2020-11,18670.93
2020-11,18589.49
2020-11,17946.04
2020-11,17786.57
2020-11,17639.21
2020-11,16704.72
2020-11,15857.79
2020-11,16008.29
2020-11,16294.47
2020-11,16159.74
2020-11,15831.57
2020-11,15389.01
2020-11,15387.48
2020-11,15342.02
2020-11,14837
2020-11,15553.32
2020-11,15243.85
2020-11,14008.75
2020-11,13741.48
2020-11,13619.76
